iter	RMSE
0	13.77617589
1	12.8682233
2	12.06940509
3	11.37388671
4	10.75613079
5	10.22730938
6	9.755690951
7	9.290936084
8	8.903114008
9	8.580705237
10	8.230342916
11	7.921415961
12	7.650941464
13	7.412478427
14	7.233562015
15	7.0125847
16	6.848255831
17	6.680980897
18	6.5506785
19	6.399017102
20	6.301368555
21	6.179898596
22	6.098199968
23	6.000806064
24	5.929100306
25	5.872445784
26	5.804707545
27	5.738862123
28	5.677580208
29	5.615058924
30	5.572108039
31	5.536726977
32	5.486035337
33	5.446932065
34	5.411202568
35	5.372957987
36	5.332836398
37	5.30387413
38	5.279539798
39	5.255055408
40	5.229623693
41	5.211054088
42	5.182003681
43	5.161703195
44	5.146196737
45	5.123756445
46	5.107302961
47	5.089072937
48	5.068108631
49	5.051668939
50	5.031946133
51	5.015407953
52	4.998669997
53	4.975249518
54	4.964529074
55	4.95777544
56	4.939823902
57	4.923285956
58	4.908518638
59	4.885637763
60	4.867916409
61	4.852275872
62	4.839134761
63	4.824255753
64	4.814706365
65	4.788767772
66	4.777874457
67	4.762869247
68	4.747736344
69	4.739618694
70	4.724169258
71	4.713703717
72	4.69493164
73	4.690821876
74	4.678796935
75	4.671072494
76	4.658521982
77	4.649693665
78	4.637312215
79	4.632046591
80	4.625859575
81	4.612834414
82	4.602055244
83	4.592163547
84	4.581179075
85	4.573958152
86	4.560481507
87	4.550920818
88	4.540707268
89	4.533500263
90	4.528257579
91	4.520172781
92	4.51217385
93	4.50316052
94	4.491838659
95	4.485016803
96	4.473009362
97	4.464089467
98	4.439477549
99	4.4231819
100	4.418955923
101	4.402171924
102	4.379928334
103	4.369505828
104	4.353956348
105	4.352602793
106	4.342798028
107	4.325597346
108	4.311907585
109	4.303342713
110	4.292044386
111	4.278637516
112	4.269802797
113	4.261317234
114	4.254812004
115	4.240252348
116	4.232493458
117	4.21387858
118	4.194806639
119	4.190931581
120	4.182398029
121	4.176006868
122	4.156594148
123	4.140077339
124	4.138075366
125	4.13069559
126	4.124238048
127	4.108999994
128	4.089014449
129	4.080553475
130	4.073832356
131	4.067233675
132	4.0533945
133	4.03938949
134	4.02980041
135	4.024723864
136	4.017526194
137	4.004259642
138	3.994931573
139	3.985006535
140	3.979928977
141	3.973487566
142	3.961841381
143	3.952262665
144	3.936485465
145	3.935952674
146	3.935611275
147	3.92179224
148	3.914405688
149	3.903509172
150	3.895322675
151	3.889105983
152	3.879085358
153	3.869532939
154	3.857059753
155	3.856394104
156	3.839615731
157	3.83606529
158	3.830232652
159	3.807765265
160	3.793157766
161	3.787974191
162	3.784140263
163	3.776330691
164	3.766030437
165	3.755203311
166	3.747112294
167	3.739164516
168	3.72826703
169	3.719802737
170	3.712168775
171	3.705577436
172	3.698351417
173	3.68726472
174	3.679131507
175	3.67722845
176	3.67138534
177	3.664322931
178	3.650706498
179	3.644524579
180	3.63190985
181	3.623301926
182	3.616983111
183	3.609764961
184	3.601582809
185	3.594011276
186	3.585812066
187	3.58163642
188	3.577293688
189	3.568942307
190	3.567372588
191	3.555563183
192	3.548225217
193	3.540978232
194	3.532493297
195	3.526002067
196	3.51890015
197	3.515202792
198	3.503912529
199	3.500334304

