iter	Passed	Remaining
0	9	1968
1	14	1391
2	15	1009
3	17	840
4	20	781
5	23	746
6	25	690
7	27	658
8	30	652
9	32	610
10	35	615
11	37	584
12	38	555
13	40	533
14	41	513
15	43	498
16	48	525
17	52	530
18	53	512
19	55	495
20	55	475
21	59	478
22	60	467
23	62	455
24	64	454
25	69	465
26	73	471
27	74	460
28	80	477
29	84	478
30	87	476
31	91	481
32	95	485
33	97	478
34	99	469
35	106	484
36	107	473
37	115	491
38	120	496
39	121	486
40	124	484
41	126	474
42	127	465
43	128	457
44	130	450
45	140	471
46	145	475
47	150	475
48	155	480
49	162	486
50	171	502
51	173	493
52	174	484
53	183	497
54	186	490
55	188	485
56	191	479
57	197	484
58	207	495
59	208	487
60	211	481
61	215	480
62	217	471
63	220	469
64	223	464
65	234	475
66	235	468
67	239	464
68	240	457
69	242	449
70	245	445
71	249	443
72	253	440
73	256	437
74	261	436
75	264	431
76	265	424
77	267	418
78	268	411
79	271	406
80	273	402
81	275	397
82	278	392
83	280	387
84	284	385
85	286	380
86	293	380
87	298	380
88	304	379
89	313	383
90	316	379
91	319	374
92	321	369
93	326	367
94	328	362
95	330	358
96	331	352
97	333	346
98	334	341
99	335	335
100	341	334
101	344	330
102	346	326
103	348	321
104	349	316
105	350	310
106	351	305
107	354	302
108	357	298
109	359	294
110	361	290
111	368	289
112	370	284
113	371	280
114	373	275
115	374	271
116	376	266
117	377	262
118	378	257
119	380	253
120	381	249
121	383	244
122	384	240
123	385	236
124	387	232
125	388	228
126	389	223
127	390	219
128	392	215
129	393	212
130	395	208
131	396	204
132	397	200
133	398	196
134	400	192
135	401	189
136	403	185
137	405	182
138	406	178
139	407	174
140	408	171
141	409	167
142	411	163
143	412	160
144	413	156
145	414	153
146	415	149
147	416	146
148	418	143
149	419	139
150	420	136
151	422	133
152	423	130
153	424	126
154	425	123
155	426	120
156	428	117
157	429	114
158	430	110
159	431	107
160	432	104
161	433	101
162	434	98
163	435	95
164	436	92
165	437	89
166	438	86
167	439	83
168	440	80
169	442	78
170	443	75
171	444	72
172	446	69
173	447	66
174	450	64
175	452	61
176	454	59
177	455	56
178	457	53
179	459	51
180	461	48
181	462	45
182	463	43
183	465	40
184	466	37
185	467	35
186	468	32
187	470	30
188	471	27
189	473	24
190	475	22
191	477	19
192	479	17
193	480	14
194	481	12
195	482	9
196	484	7
197	485	4
198	486	2
199	487	0
	5
198	534	2
199	536	0
58	31
193	860	26
194	864	22
195	868	17
196	871	13
197	872	8
198	874	4
199	875	0
