iter	Passed	Remaining
0	173	173557
1	176	88089
2	179	59576
3	185	46271
4	187	37362
5	189	31368
6	190	27076
7	192	23846
8	193	21331
9	195	19383
10	197	17783
11	199	16421
12	201	15297
13	202	14287
14	204	13410
15	205	12616
16	206	11926
17	207	11311
18	208	10764
19	209	10274
20	210	9832
21	212	9451
22	214	9114
23	215	8782
24	217	8465
25	218	8176
26	219	7905
27	220	7656
28	221	7420
29	222	7202
30	224	7003
31	225	6835
32	227	6668
33	228	6496
34	229	6331
35	230	6179
36	231	6034
37	232	5897
38	234	5768
39	235	5641
40	236	5527
41	237	5426
42	239	5330
43	241	5240
44	242	5147
45	243	5053
46	244	4965
47	246	4881
48	247	4798
49	248	4718
50	249	4651
51	251	4583
52	253	4522
53	254	4462
54	255	4396
55	257	4333
56	258	4272
57	259	4212
58	260	4156
59	261	4099
60	262	4042
61	263	3989
62	264	3937
63	265	3888
64	267	3849
65	269	3811
66	270	3769
67	271	3727
68	273	3685
69	274	3645
70	275	3604
71	276	3565
72	277	3526
73	278	3490
74	279	3452
75	281	3418
76	282	3391
77	284	3361
78	285	3329
79	286	3298
80	287	3267
81	289	3236
82	289	3200
83	290	3170
84	292	3143
85	293	3115
86	294	3088
87	295	3061
88	296	3038
89	298	3016
90	299	2991
91	300	2967
92	301	2943
93	302	2920
94	304	2896
95	305	2874
96	306	2851
97	307	2829
98	308	2807
99	309	2786
100	310	2765
101	312	2753
102	314	2735
103	315	2716
104	316	2696
105	317	2676
106	318	2657
107	319	2641
108	321	2626
109	322	2612
110	323	2594
111	325	2578
112	326	2564
113	328	2550
114	329	2535
115	331	2524
116	332	2511
117	333	2495
118	334	2479
119	336	2464
120	337	2448
121	338	2432
122	339	2421
123	341	2411
124	342	2400
125	344	2389
126	345	2376
127	346	2361
128	347	2348
129	348	2334
130	349	2320
131	350	2306
132	351	2293
133	352	2280
134	354	2268
135	355	2256
136	356	2246
137	358	2237
138	359	2226
139	360	2214
140	361	2203
141	362	2189
142	363	2178
143	364	2167
144	365	2156
145	366	2145
146	367	2134
147	369	2124
148	370	2115
149	372	2108
150	373	2099
151	374	2091
152	376	2085
153	377	2075
154	378	2065
155	380	2056
156	381	2049
157	382	2040
158	384	2033
159	386	2028
160	387	2019
161	388	2012
162	390	2006
163	392	2001
164	394	1995
165	396	1990
166	397	1982
167	398	1974
168	400	1969
169	401	1962
170	403	1955
171	404	1947
172	405	1938
173	406	1930
174	407	1921
175	408	1913
176	409	1905
177	410	1897
178	411	1889
179	412	1881
180	415	1878
181	416	1872
182	417	1865
183	418	1857
184	419	1849
185	420	1841
186	421	1834
187	422	1826
188	424	1819
189	425	1812
190	426	1805
191	427	1798
192	428	1791
193	430	1787
194	431	1781
195	432	1774
196	433	1767
197	434	1760
198	435	1754
199	436	1747
200	437	1740
201	438	1734
202	439	1727
203	440	1720
204	442	1714
205	442	1707
206	444	1701
207	445	1696
208	446	1690
209	447	1684
210	448	1678
211	449	1672
212	451	1666
213	452	1660
214	453	1654
215	454	1648
216	455	1642
217	456	1635
218	457	1630
219	458	1625
220	461	1625
221	462	1622
222	464	1616
223	465	1611
224	466	1606
225	467	1600
226	468	1595
227	469	1589
228	470	1584
229	471	1578
230	472	1573
231	474	1572
232	476	1567
233	477	1561
234	478	1556
235	479	1551
236	480	1546
237	481	1541
238	482	1535
239	483	1530
240	484	1525
241	485	1520
242	486	1515
243	487	1510
244	489	1507
245	490	1503
246	491	1498
247	492	1493
248	493	1488
249	494	1484
250	495	1479
251	496	1474
252	497	1470
253	498	1465
254	500	1460
255	502	1460
256	503	1456
257	504	1452
258	506	1448
259	507	1444
260	508	1440
261	509	1436
262	511	1432
263	514	1435
264	516	1431
265	517	1427
266	518	1423
267	519	1419
268	520	1415
269	522	1411
270	523	1409
271	526	1408
272	527	1404
273	529	1401
274	530	1398
275	531	1395
276	533	1391
277	534	1387
278	535	1384
279	537	1381
280	538	1377
281	539	1373
282	540	1369
283	541	1366
284	543	1364
285	545	1360
286	546	1356
